Date,Close,High,Low,Open,Volume,Symbol
,Nvda,Nvda,Nvda,Nvda,Nvda,
2015-01-02,0.48303845524787903,0.4866378727641615,0.47535973602034337,0.48303845524787903,113680000,NVDA
2015-01-05,0.4748797118663788,0.4844781086500895,0.4727200904684149,0.4830383419811845,197952000,NVDA
2015-01-06,0.460482120513916,0.4760794674798034,0.4600022078668131,0.4755995548327005,197764000,NVDA
2015-01-07,0.4592822790145874,0.4679208202267214,0.45784251261076897,0.4638414916176986,321808000,NVDA
2015-01-08,0.4765593707561493,0.4794389037929278,0.46432144116601226,0.4645614117875406,283780000,NVDA
2015-01-09,0.4784790277481079,0.48207844387734894,0.47176016531584,0.47823908574308466,209540000,NVDA
2015-01-12,0.47248008847236633,0.47991883475915276,0.46816081735763204,0.47967886412845967,190732000,NVDA
2015-01-13,0.4717601537704468,0.48567779090981184,0.4684007369392225,0.47607942441444123,236720000,NVDA
2015-01-14,0.47367990016937256,0.47511966679063367,0.4655212989299397,0.46672109491252645,155260000,NVDA
2015-01-15,0.47032055258750916,0.47991892187120627,0.47008058191325797,0.4770394168071765,188932000,NVDA
2015-01-16,0.4789590537548065,0.4794389664551969,0.46816086066635343,0.469600627372919,181512000,NVDA
2015-01-20,0.4803987145423889,0.48495789849357973,0.4743997069912982,0.48231836492070335,140308000,NVDA
2015-01-21,0.48711758852005005,0.4883174130141936,0.47439974637818794,0.4777591920299311,144780000,NVDA
2015-01-22,0.49551618099212646,0.49695594747941707,0.48303828104998114,0.4880774065447183,159712000,NVDA
2015-01-23,0.4969557523727417,0.4979155772505113,0.4919165716456257,0.4959958702842146,120416000,NVDA
2015-01-26,0.49479615688323975,0.4971957479419828,0.49167668278579735,0.49479615688323975,133240000,NVDA
2015-01-27,0.47104036808013916,0.4875975698701815,0.4700805141269437,0.4871176285908874,357948000,NVDA
2015-01-28,0.4633616805076599,0.4787190872923432,0.463121709852667,0.4767994078685835,272728000,NVDA
2015-01-29,0.4746397137641907,0.47727924753822937,0.4614419304724366,0.4636015802207121,235340000,NVDA
2015-01-30,0.4607219994068146,0.4767992854222923,0.46000214483748997,0.4712802192233512,298200000,NVDA
2015-02-02,0.47080034017562866,0.47272001924313045,0.45448311100994704,0.4636015651265388,259604000,NVDA
2015-02-03,0.48255831003189087,0.4830382512349572,0.47176014785988635,0.47415973945366513,183468000,NVDA
2015-02-04,0.48375824093818665,0.48927730854003115,0.47967891144634867,0.48111870676714413,181516000,NVDA
2015-02-05,0.4916768968105316,0.49191683885762255,0.48375823714864624,0.48423812124282806,140448000,NVDA
2015-02-06,0.4895171821117401,0.49695595669712517,0.4873575323407463,0.4911968906411417,210524000,NVDA
2015-02-09,0.48903727531433105,0.49047698455052186,0.48351820874146834,0.486637683639642,273944000,NVDA
2015-02-10,0.5027151107788086,0.5029550528635345,0.4873576731403998,0.48951732353532557,226204000,NVDA
2015-02-11,0.4993557333946228,0.5039149194294986,0.4959962578810272,0.5039149194294986,320832000,NVDA
2015-02-12,0.5351094007492065,0.5399085835819623,0.5247911519377046,0.527910626500073,676904000,NVDA
2015-02-13,0.535349428653717,0.5360693119152523,0.5257510614476226,0.5339096621306466,310084000,NVDA
2015-02-17,0.5370292067527771,0.5396687981238949,0.5310302550773405,0.5343896725924481,203340000,NVDA
2015-02-18,0.5307901501655579,0.53726909906894,0.5298303249538344,0.5363092166464393,170948000,NVDA
2015-02-19,0.5322299003601074,0.5384688498622415,0.5298303087985771,0.5375090246797845,169432000,NVDA
2015-02-20,0.5360692143440247,0.5363091563172703,0.5279106151459666,0.5317499727717501,157752000,NVDA
2015-02-23,0.5317500233650208,0.5358293233521741,0.5291104325650925,0.5358293233521741,125008000,NVDA
2015-02-24,0.5374109148979187,0.5374109148979187,0.5289800316754683,0.5337976956400355,149356000,NVDA
2015-02-25,0.5333156585693359,0.5376515885822473,0.5309068277058488,0.5352427002877024,123820000,NVDA
2015-02-26,0.5347610712051392,0.5378925576717739,0.5304251403600746,0.5337975501610367,152864000,NVDA
2015-02-27,0.5313887000083923,0.5345201863640799,0.5294616005573947,0.5333157420283231,157492000,NVDA
2015-03-02,0.5443963408470154,0.547286961114843,0.5292206993030466,0.5299433543700035,301512000,NVDA
2015-03-03,0.5342792868614197,0.5429510911999113,0.5325931106610282,0.5403013939465917,160344000,NVDA
2015-03-04,0.540301501750946,0.5415058889496457,0.5301843850988969,0.5323523509738534,226840000,NVDA
2015-03-05,0.5506592988967896,0.5516228198174556,0.5388560096832102,0.5403013197797403,323056000,NVDA
2015-03-06,0.5431920289993286,0.5501775998923552,0.5427102397445018,0.5475279025684855,257392000,NVDA
2015-03-09,0.5446370840072632,0.548732147607668,0.5422282534705223,0.5434326974544178,222388000,NVDA
2015-03-10,0.5540318489074707,0.557645125440584,0.5460826979657037,0.5470462192308398,527212000,NVDA
2015-03-11,0.5511413216590881,0.5612583817605187,0.5496960109500021,0.5540318856461743,262120000,NVDA
2015-03-12,0.546082615852356,0.5499367577644431,0.5357246345897164,0.545841749930061,406972000,NVDA
2015-03-13,0.546805202960968,0.5482505131769118,0.5359654337724561,0.5434328507444768,359288000,NVDA
2015-03-16,0.5533090829849243,0.5566814928853218,0.5475278991187825,0.5511411749295403,236956000,NVDA
2015-03-17,0.5600539445877075,0.5602948105407456,0.5482506514226286,0.5521047938266422,299900000,NVDA
2015-03-18,0.5509002804756165,0.5629444380912496,0.5458417515063727,0.5600538747221419,413844000,NVDA
2015-03-19,0.5593312382698059,0.5612582805804684,0.5487323906990105,0.5528273986824751,310756000,NVDA
2015-03-20,0.565353274345398,0.5687256844508554,0.5586085689966314,0.5639080213642866,462084000,NVDA
2015-03-23,0.5470462441444397,0.555718050787761,0.5468053781749567,0.5484915548235073,426012000,NVDA
2015-03-24,0.5395786762237549,0.5492140004977583,0.537169845155254,0.5453598593019444,330480000,NVDA
2015-03-25,0.5068187117576599,0.5393379694937137,0.50513247782418,0.5393379694937137,542552000,NVDA
2015-03-26,0.5051324367523193,0.5073004024067356,0.49284741290611106,0.49646068899680473,311920000,NVDA
2015-03-27,0.5150086283683777,0.516935670445384,0.49983298536097953,0.5080230003348596,318288000,NVDA
2015-03-30,0.5171767473220825,0.519826445322398,0.5106728491613498,0.5174176132954514,253252000,NVDA
2015-03-31,0.5041688680648804,0.5162130248463714,0.5036871362522626,0.5157312930337536,357276000,NVDA
2015-04-01,0.5060960054397583,0.5077821817721034,0.4974242004226444,0.5060960054397583,330768000,NVDA
2015-04-02,0.5073001384735107,0.5104316236458679,0.5029642668515789,0.5089863139615423,192204000,NVDA
2015-04-06,0.5219942927360535,0.5236804690285699,0.4998330201525701,0.5051324149487438,515864000,NVDA
2015-04-07,0.5265712738037109,0.5323524598886287,0.519103853405895,0.5219944751639003,413964000,NVDA
2015-04-08,0.5304253101348877,0.5323524102709742,0.5219944265116568,0.5270529566855954,366432000,NVDA
2015-04-09,0.5427104234695435,0.5443966002856561,0.526089463870746,0.5263303298641647,379432000,NVDA
2015-04-10,0.5482505559921265,0.5484914219032385,0.5412649276902385,0.5431920272723476,258728000,NVDA
2015-04-13,0.5431920289993286,0.5501775998923552,0.5407831401562658,0.5470461133136587,236724000,NVDA
2015-04-14,0.538615345954895,0.5431921438345731,0.533315892755737,0.5410241778761335,220276000,NVDA
2015-04-15,0.5451191067695618,0.549214114694371,0.5374108227751712,0.5400605777032226,243560000,NVDA
2015-04-16,0.5417467951774597,0.5465644586818477,0.5378926528877335,0.5419876611233554,155284000,NVDA
2015-04-17,0.5347610712051392,0.5400605230943061,0.5301842744568163,0.5304251403600746,293636000,NVDA
2015-04-20,0.532111406326294,0.5405422877635898,0.5311478277925409,0.5371699351886715,231624000,NVDA
2015-04-21,0.5313887000083923,0.5386151937297329,0.5287389454421539,0.5386151937297329,230456000,NVDA
2015-04-22,0.5374109148979187,0.5381335702357123,0.526330276293197,0.5345203509778291,207420000,NVDA
2015-04-23,0.5352428555488586,0.5403014420312969,0.5215125213872468,0.5275346290083628,259380000,NVDA
2015-04-24,0.5306660532951355,0.5352427925227007,0.5246439463831375,0.5350019266241625,240960000,NVDA
2015-04-27,0.5347610712051392,0.5441555306050433,0.5277754431310256,0.5323522398793485,248456000,NVDA
2015-04-28,0.5374109148979187,0.5393380149423964,0.5287391082754807,0.5337976956400355,234484000,NVDA
2015-04-29,0.5333156585693359,0.5388559752984619,0.5311476935628802,0.5335565244263673,195156000,NVDA
2015-04-30,0.5347610712051392,0.5374107684341881,0.5294616193159722,0.530666063694402,218844000,NVDA
2015-05-01,0.5480095744132996,0.5496957502973268,0.5366880175145963,0.5390968484105005,256968000,NVDA
2015-05-04,0.5446370840072632,0.5511409781444089,0.5429509083746495,0.5475277036237723,200720000,NVDA
2015-05-05,0.5306660532951355,0.5434328648147462,0.5282572220165498,0.5427102096880637,292928000,NVDA
2015-05-06,0.5323522686958313,0.5386152419681185,0.5253666402435824,0.5335566557083862,316484000,NVDA
